"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05006_001E","Estimate!!Total:"
"B05006_001M","Margin of Error!!Total:"
"B05006_002E","Estimate!!Total:!!Europe:"
"B05006_002M","Margin of Error!!Total:!!Europe:"
"B05006_003E","Estimate!!Total:!!Europe:!!Northern Europe:"
"B05006_003M","Margin of Error!!Total:!!Europe:!!Northern Europe:"
"B05006_004E","Estimate!!Total:!!Europe:!!Northern Europe:!!Denmark"
"B05006_004M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!Denmark"
"B05006_005E","Estimate!!Total:!!Europe:!!Northern Europe:!!Ireland"
"B05006_005M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!Ireland"
"B05006_006E","Estimate!!Total:!!Europe:!!Northern Europe:!!Norway"
"B05006_006M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!Norway"
"B05006_007E","Estimate!!Total:!!Europe:!!Northern Europe:!!Sweden"
"B05006_007M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!Sweden"
"B05006_008E","Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):"
"B05006_008M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):"
"B05006_009E","Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!United Kingdom, excluding England and Scotland"
"B05006_009M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!United Kingdom, excluding England and Scotland"
"B05006_010E","Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!England"
"B05006_010M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!England"
"B05006_011E","Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland"
"B05006_011M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland"
"B05006_012E","Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe"
"B05006_012M","Margin of Error!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe"
"B05006_013E","Estimate!!Total:!!Europe:!!Western Europe:"
"B05006_013M","Margin of Error!!Total:!!Europe:!!Western Europe:"
"B05006_014E","Estimate!!Total:!!Europe:!!Western Europe:!!Austria"
"B05006_014M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Austria"
"B05006_015E","Estimate!!Total:!!Europe:!!Western Europe:!!Belgium"
"B05006_015M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Belgium"
"B05006_016E","Estimate!!Total:!!Europe:!!Western Europe:!!France"
"B05006_016M","Margin of Error!!Total:!!Europe:!!Western Europe:!!France"
"B05006_017E","Estimate!!Total:!!Europe:!!Western Europe:!!Germany"
"B05006_017M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Germany"
"B05006_018E","Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands"
"B05006_018M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Netherlands"
"B05006_019E","Estimate!!Total:!!Europe:!!Western Europe:!!Switzerland"
"B05006_019M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Switzerland"
"B05006_020E","Estimate!!Total:!!Europe:!!Western Europe:!!Other Western Europe"
"B05006_020M","Margin of Error!!Total:!!Europe:!!Western Europe:!!Other Western Europe"
"B05006_021E","Estimate!!Total:!!Europe:!!Southern Europe:"
"B05006_021M","Margin of Error!!Total:!!Europe:!!Southern Europe:"
"B05006_022E","Estimate!!Total:!!Europe:!!Southern Europe:!!Greece"
"B05006_022M","Margin of Error!!Total:!!Europe:!!Southern Europe:!!Greece"
"B05006_023E","Estimate!!Total:!!Europe:!!Southern Europe:!!Italy"
"B05006_023M","Margin of Error!!Total:!!Europe:!!Southern Europe:!!Italy"
"B05006_024E","Estimate!!Total:!!Europe:!!Southern Europe:!!Portugal"
"B05006_024M","Margin of Error!!Total:!!Europe:!!Southern Europe:!!Portugal"
"B05006_025E","Estimate!!Total:!!Europe:!!Southern Europe:!!Portugal!!Azores Islands"
