,NTAName,total_foreign_born,Europe::Northern Europe,Europe::Western Europe,Europe::Southern Europe,Europe::Eastern Europe,Asia::Eastern Asia,Asia::South Central Asia,Asia::South Eastern Asia,Asia::Western Asia,Africa::Eastern Africa,Africa::Middle Africa,Africa::Northern Africa,Africa::Southern Africa,Africa::Western Africa,Oceania,Americas::Latin America,Americas::Latin America::Central America,Americas::Latin America::South America,Americas::Northern America,total_tract_pop,foreign_born_pct,total_foreign_born_pct,Europe::Northern Europe_pct,Europe::Western Europe_pct,Europe::Southern Europe_pct,Europe::Eastern Europe_pct,Asia::Eastern Asia_pct,Asia::South Central Asia_pct,Asia::South Eastern Asia_pct,Asia::Western Asia_pct,Africa::Eastern Africa_pct,Africa::Middle Africa_pct,Africa::Northern Africa_pct,Africa::Southern Africa_pct,Africa::Western Africa_pct,Oceania_pct,Americas::Latin America_pct,Americas::Latin America::Central America_pct,Americas::Latin America::South America_pct,Americas::Northern America_pct,foreign_born_pct_pct
0,Allerton,12389,41,54,194,1517,113,473,588,193,116,13,141,0,938,0,7991,1717,842,0,33558,36.91817152392872,36.91817152392872,0.1221765301865427,0.16091543000178796,0.5781035818582753,4.52053161690208,0.3367304368555933,1.4094999702008462,1.7521902377972465,0.5751236664878717,0.34567018296680374,0.03873889981524525,0.42016806722689076,0.0,2.7951606174384644,0.0,23.812503724894214,5.116514690982776,2.5090887418797303,0.0,0.11001302677134729
1,Alley Pond Park,29,0,0,2,0,0,0,0,20,0,0,0,0,0,0,7,4,2,0,97,29.896907216494846,29.896907216494846,0.0,0.0,2.0618556701030926,0.0,0.0,0.0,0.0,20.618556701030926,0.0,0.0,0.0,0.0,0.0,0.0,7.216494845360824,4.123711340206185,2.0618556701030926,0.0,30.82155383143799
2,Annadale-Huguenot-Prince's Bay-Woodrow,7424,26,108,1322,2426,763,895,106,502,0,0,461,0,63,0,645,137,343,94,42360,17.525967894239848,17.525967894239848,0.06137865911237016,0.254957507082153,3.120868744098206,5.7271010387157695,1.8012275731822476,2.1128423040604343,0.2502360717658168,1.1850802644003777,0.0,0.0,1.0882908404154863,0.0,0.14872521246458925,0.0,1.5226628895184136,0.32341831916902736,0.8097261567516525,0.2219074598677998,0.041373861884418904
3,Arden Heights-Rossville,6576,79,0,624,1735,1747,441,136,468,0,0,586,0,0,0,760,158,307,0,31491,20.88215680670668,20.88215680670668,0.25086532660125116,0.0,1.9815185291035535,5.509510653837604,5.547616779397288,1.4004001143183766,0.43186942300974884,1.4861388968276652,0.0,0.0,1.8608491314978886,0.0,0.0,0.0,2.413387952113302,0.5017306532025023,0.9748817122352418,0.0,0.06631150743611405
4,Astoria (Central),17574,431,330,1617,3240,1769,2116,1136,223,35,0,146,55,0,68,6177,1815,3483,128,47901,36.688169349282894,36.688169349282894,0.8997724473393041,0.6889208993549195,3.3757124068391056,6.763950648211938,3.6930335483601597,4.4174443122273015,2.3715580050520866,0.4655435168368092,0.07306736811340056,0.0,0.30479530698732804,0.11482014989248658,0.0,0.1419594580488925,12.895346652470721,3.7890649464520574,7.271246946827832,0.2672178033861506,0.07659165643573808
5,Astoria (East)-Woodside (North),15383,255,172,1595,2285,1396,1729,1158,313,7,0,452,0,16,9,5913,1672,3490,69,37591,40.9220292091192,40.9220292091192,0.6783538612965869,0.45755632997259976,4.243036897129633,6.078582639461573,3.713654864196217,4.599505200712937,3.080524593652736,0.8326461121013009,0.018621478545396506,0.0,1.2024154717884599,0.0,0.04256337953233486,0.023941900986938363,15.729828948418504,4.447873161128993,9.284137160490543,0.18355457423319413,0.10886124127881462
6,Astoria (North)-Ditmars-Steinway,15576,429,197,3321,1760,759,1503,852,521,0,0,1805,76,12,25,4221,927,2749,64,48941,31.82607629594818,31.82607629594818,0.8765656606934881,0.4025254898755644,6.785721583130708,3.5961668131014894,1.5508469381500174,3.071044727324738,1.7408716617968574,1.064547107741975,0.0,0.0,3.68811426002738,0.15528902147483706,0.024519319180237427,0.051081914958827974,8.624670521648516,1.8941174066733413,5.616967368872724,0.13076970229459964,0.06502947691291183
7,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
8,Auburndale,15638,148,77,1281,579,8915,763,926,265,7,0,118,16,16,11,2473,467,1610,43,34698,45.068880050723386,45.068880050723386,0.4265375525966914,0.22191480776990027,3.691855438353796,1.6686840740100295,25.693123522969625,2.198974004265376,2.6687417142198395,0.7637327799873191,0.020174073433627298,0.0,0.3400772378811459,0.04611216784829097,0.04611216784829097,0.031702115395700045,7.127211943051473,1.3458988990719927,4.6400368897342785,0.12392645109228198,0.12988898510209057
9,Baisley Park,18829,120,43,0,21,207,907,35,72,16,0,28,0,615,0,16618,851,6776,0,43103,43.68373431083683,43.68373431083683,0.27840289539011204,0.09976103751479015,0.0,0.04872050669326961,0.4802449945479433,2.104261884323597,0.08120084448878268,0.16704173723406723,0.03712038605201494,0.0,0.06496067559102614,0.0,1.4268148388743245,0.0,38.55416096327402,1.9743405331415447,15.720483493028329,0.0,0.10134731761324463
