"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36005000100","Census Tract 1; Bronx County; New York","3538","1209",
"1400000US36005000200","Census Tract 2; Bronx County; New York","5177","721",
"1400000US36005000400","Census Tract 4; Bronx County; New York","6481","1051",
"1400000US36005001600","Census Tract 16; Bronx County; New York","6011","715",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","2401","345",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","1979","366",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","0","13",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","0","13",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","4300","783",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","3689","1034",
"1400000US36005002300","Census Tract 23; Bronx County; New York","4527","612",
"1400000US36005002400","Census Tract 24; Bronx County; New York","0","13",
"1400000US36005002500","Census Tract 25; Bronx County; New York","5460","761",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","2830","409",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","5156","692",
"1400000US36005002800","Census Tract 28; Bronx County; New York","5420","732",
"1400000US36005003100","Census Tract 31; Bronx County; New York","2641","453",
"1400000US36005003300","Census Tract 33; Bronx County; New York","3407","568",
"1400000US36005003500","Census Tract 35; Bronx County; New York","3529","857",
"1400000US36005003700","Census Tract 37; Bronx County; New York","285","165",
"1400000US36005003800","Census Tract 38; Bronx County; New York","1215","157",
"1400000US36005003900","Census Tract 39; Bronx County; New York","6346","1097",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","1378","320",
"1400000US36005004100","Census Tract 41; Bronx County; New York","6272","1026",
"1400000US36005004200","Census Tract 42; Bronx County; New York","7976","952",
"1400000US36005004300","Census Tract 43; Bronx County; New York","5041","748",
"1400000US36005004400","Census Tract 44; Bronx County; New York","4323","561",
"1400000US36005004600","Census Tract 46; Bronx County; New York","1784","365",
"1400000US36005004800","Census Tract 48; Bronx County; New York","4139","562",
"1400000US36005005001","Census Tract 50.01; Bronx County; New York","4597","654",
"1400000US36005005002","Census Tract 50.02; Bronx County; New York","6338","1143",
"1400000US36005005100","Census Tract 51; Bronx County; New York","6795","1033",
"1400000US36005005200","Census Tract 52; Bronx County; New York","1787","259",
"1400000US36005005300","Census Tract 53; Bronx County; New York","4596","1028",
"1400000US36005005400","Census Tract 54; Bronx County; New York","5306","834",
"1400000US36005005600","Census Tract 56; Bronx County; New York","2531","418",
"1400000US36005005902","Census Tract 59.02; Bronx County; New York","3044","447",
"1400000US36005006000","Census Tract 60; Bronx County; New York","1220","351",
"1400000US36005006100","Census Tract 61; Bronx County; New York","3835","709",
"1400000US36005006200","Census Tract 62; Bronx County; New York","6206","954",
"1400000US36005006301","Census Tract 63.01; Bronx County; New York","6244","876",
"1400000US36005006302","Census Tract 63.02; Bronx County; New York","0","13",
"1400000US36005006400","Census Tract 64; Bronx County; New York","3847","650",
"1400000US36005006500","Census Tract 65; Bronx County; New York","5182","968",
"1400000US36005006700","Census Tract 67; Bronx County; New York","5892","1739",
"1400000US36005006800","Census Tract 68; Bronx County; New York","2621","611",
